#Extended Data Table 4. Differentially H3K27ac acetylated loci between 2nd and 3rd trimester CTBs														
	seqnames	start	end	width	strand	Conc	Conc_second.CTB	Conc_third.CTB	Fold	absFC	p.value	FDR	nglogP	nglogFDR
10557	chr17	59274824	59279285	4462	*	9.63	10.37	8.03	2.34	2.34	3.21E-07	1.92E-06	6.493494968	5.716698771
6869	chr13	50759943	50762852	2910	*	8.67	9.41	7.07	2.34	2.34	4.10E-07	2.34E-06	6.387216143	5.630784143
13812	chr2	153678995	153683317	4323	*	9.75	10.49	8.15	2.34	2.34	4.32E-07	2.45E-06	6.364516253	5.610833916
16046	chr22	45593206	45599889	6684	*	11.23	11.96	9.63	2.34	2.34	1.24E-06	5.67E-06	5.906578315	5.246416941
25154	chr9	92035713	92039041	3329	*	9.83	10.57	8.23	2.34	2.34	1.92E-06	8.16E-06	5.716698771	5.088309841
11308	chr18	52441914	52444379	2466	*	8.64	9.38	7.04	2.34	2.34	2.08E-06	8.69E-06	5.681936665	5.060980224
13226	chr2	65004101	65008006	3906	*	10.72	11.46	9.12	2.34	2.34	3.23E-06	1.25E-05	5.490797478	4.903089987
10155	chr17	30022446	30031471	9026	*	11.36	12.1	9.76	2.34	2.34	3.64E-06	1.38E-05	5.438898616	4.860120914
4278	chr11	35330899	35334127	3229	*	8.72	9.46	7.13	2.34	2.34	4.04E-06	1.50E-05	5.393618635	4.823908741
12281	chr19	45673742	45675355	1614	*	8.14	8.88	6.53	2.34	2.34	4.10E-06	1.52E-05	5.387216143	4.818156412
11046	chr18	12864602	12867579	2978	*	8.79	9.53	7.18	2.34	2.34	6.49E-06	2.23E-05	5.187755303	4.651695137
24695	chr9	13479963	13482790	2828	*	9.12	9.86	7.52	2.34	2.34	2.17E-05	6.26E-05	4.663540266	4.203425667
10083	chr17	27191889	27195613	3725	*	9.88	10.62	8.28	2.34	2.34	2.36E-05	6.73E-05	4.627087997	4.171984936
9144	chr16	27732481	27734674	2194	*	9.02	9.76	7.42	2.34	2.34	3.05E-05	8.40E-05	4.515700161	4.075720714
6745	chr13	43226330	43228446	2117	*	8.38	9.12	6.78	2.34	2.34	0.000187	0.000416	3.728158393	3.380906669
5856	chr12	58730341	58731845	1505	*	8.09	8.83	6.49	2.34	2.34	0.000663	0.00129	3.178486472	2.88941029
19083	chr5	17156845	17158887	2043	*	8.84	9.58	7.24	2.34	2.34	0.00082	0.00157	3.086186148	2.804100348
18821	chr4	169460811	169463296	2486	*	8.23	8.97	6.63	2.35	2.35	8.33E-12	7.35E-10	11.079355	9.133712661
14763	chr20	20009055	20012099	3045	*	9.43	10.17	7.81	2.35	2.35	3.01E-11	1.85E-09	10.5214335	8.732828272
10886	chr17	80490638	80497971	7334	*	9.51	7.89	10.25	-2.35	2.35	4.25E-11	2.37E-09	10.37161107	8.625251654
22886	chr7	101887023	101888845	1823	*	8	6.39	8.74	-2.35	2.35	1.45E-10	5.80E-09	9.838631998	8.236572006
23154	chr7	133999490	134006336	6847	*	10.07	8.46	10.82	-2.35	2.35	1.60E-10	6.23E-09	9.795880017	8.205511953
11376	chr18	60946807	60949266	2460	*	8.06	8.8	6.45	2.35	2.35	4.19E-10	1.23E-08	9.377785977	7.910094889
14799	chr20	25417028	25418905	1878	*	8.05	6.45	8.8	-2.35	2.35	4.21E-10	1.23E-08	9.375717904	7.910094889
24508	chr8	135868838	135872405	3568	*	9.28	7.68	10.02	-2.35	2.35	4.81E-10	1.36E-08	9.317854924	7.866461092
14410	chr2	225462663	225464562	1900	*	8.73	7.12	9.47	-2.35	2.35	6.42E-10	1.70E-08	9.192464972	7.769551079
20294	chr5	179757185	179759531	2347	*	9.92	10.66	8.31	2.35	2.35	1.30E-09	2.97E-08	8.886056648	7.527243551
2260	chr1	208266648	208268697	2050	*	8.48	9.22	6.87	2.35	2.35	2.34E-09	4.69E-08	8.630784143	7.328827157
19392	chr5	66387122	66392466	5345	*	9.01	7.4	9.75	-2.35	2.35	2.45E-09	4.81E-08	8.610833916	7.317854924
20103	chr5	156714157	156719687	5531	*	10.85	11.59	9.24	2.35	2.35	2.47E-09	4.83E-08	8.607303047	7.316052869
20724	chr6	28676048	28678487	2440	*	8.95	7.34	9.69	-2.35	2.35	4.22E-09	7.19E-08	8.374687549	7.14327111
14649	chr20	3844657	3849112	4456	*	10.34	11.08	8.73	2.35	2.35	6.24E-09	9.54E-08	8.20481541	7.020451625
91	chr1	7460975	7462950	1976	*	8.15	8.89	6.54	2.35	2.35	7.44E-09	1.09E-07	8.128427064	6.962573502
8488	chr15	68443867	68445847	1981	*	8.54	6.93	9.28	-2.35	2.35	8.35E-09	1.19E-07	8.078313525	6.924453039
20965	chr6	43576791	43583345	6555	*	9.73	10.47	8.12	2.35	2.35	8.54E-09	1.20E-07	8.068542129	6.920818754
25021	chr9	80217893	80222489	4597	*	10.56	11.3	8.96	2.35	2.35	1.15E-08	1.50E-07	7.93930216	6.823908741
20737	chr6	29719836	29721811	1976	*	8.09	8.83	6.49	2.35	2.35	1.16E-08	1.51E-07	7.935542011	6.821023053
19256	chr5	52132698	52135851	3154	*	8.59	9.33	6.98	2.35	2.35	1.24E-08	1.59E-07	7.906578315	6.798602876
16303	chr3	23915333	23919435	4103	*	9.78	10.52	8.17	2.35	2.35	1.28E-08	1.63E-07	7.89279003	6.787812396
713	chr1	40449271	40453927	4657	*	8.82	9.56	7.21	2.35	2.35	1.72E-08	2.00E-07	7.764471553	6.698970004
11789	chr19	14171467	14174690	3224	*	9.91	10.65	8.29	2.35	2.35	1.90E-08	2.15E-07	7.721246399	6.66756154
24172	chr8	97912077	97914038	1962	*	8.17	8.92	6.57	2.35	2.35	2.04E-08	2.28E-07	7.690369833	6.642065153
8008	chr15	23826473	23828667	2195	*	8.15	8.89	6.54	2.35	2.35	2.08E-08	2.30E-07	7.681936665	6.638272164
13091	chr2	47954439	47957511	3073	*	8.9	9.64	7.28	2.35	2.35	2.39E-08	2.56E-07	7.621602099	6.591760035
23073	chr7	127004492	127007520	3029	*	9.67	10.41	8.06	2.35	2.35	2.60E-08	2.72E-07	7.585026652	6.565431096
22614	chr7	75534618	75536097	1480	*	8.64	9.38	7.03	2.35	2.35	2.65E-08	2.77E-07	7.576754126	6.557520231
25255	chr9	99185035	99187508	2474	*	8.13	6.52	8.87	-2.35	2.35	3.35E-08	3.32E-07	7.474955193	6.478861916
7601	chr14	70227467	70229977	2511	*	8.67	9.41	7.06	2.35	2.35	3.62E-08	3.52E-07	7.441291429	6.453457337
25128	chr9	90574035	90576662	2628	*	8.06	8.81	6.45	2.35	2.35	4.85E-08	4.40E-07	7.314258261	6.356547324
18446	chr4	100928290	100930484	2195	*	9.78	10.52	8.17	2.35	2.35	5.78E-08	5.07E-07	7.238072162	6.294992041
17139	chr3	128003754	128006466	2713	*	8.6	9.35	6.99	2.35	2.35	6.46E-08	5.53E-07	7.189767482	6.257274869
3676	chr10	112532869	112535918	3050	*	10.45	11.19	8.83	2.35	2.35	7.26E-08	6.08E-07	7.139063379	6.216096421
17739	chr3	194053631	194055056	1426	*	8.33	9.07	6.72	2.35	2.35	9.71E-08	7.60E-07	7.01278077	6.119186408
8342	chr15	58912127	58915498	3372	*	9.64	10.38	8.03	2.35	2.35	1.20E-07	8.99E-07	6.920818754	6.046240308
21356	chr6	108292743	108295679	2937	*	9.34	10.08	7.73	2.35	2.35	1.40E-07	1.01E-06	6.853871964	5.995678626
22419	chr7	44773662	44776181	2520	*	8.82	9.56	7.21	2.35	2.35	1.51E-07	1.07E-06	6.821023053	5.970616222
16935	chr3	106044563	106054846	10284	*	10.61	11.35	9	2.35	2.35	1.66E-07	1.15E-06	6.779891912	5.93930216
16731	chr3	61503501	61506262	2762	*	8.65	7.04	9.39	-2.35	2.35	1.68E-07	1.17E-06	6.774690718	5.931814138
8538	chr15	72082746	72084900	2155	*	8.11	8.85	6.5	2.35	2.35	3.07E-07	1.85E-06	6.512861625	5.732828272
23702	chr8	29526093	29530256	4164	*	9.37	10.12	7.76	2.35	2.35	3.45E-07	2.03E-06	6.462180905	5.692503962
2494	chr1	230219290	230223149	3860	*	10.53	11.27	8.92	2.35	2.35	3.71E-07	2.15E-06	6.43062609	5.66756154
4972	chr11	107602545	107604766	2222	*	8.29	9.03	6.68	2.35	2.35	3.90E-07	2.25E-06	6.408935393	5.647817482
22503	chr7	55311412	55320877	9466	*	10.57	11.32	8.97	2.35	2.35	4.45E-07	2.51E-06	6.351639989	5.600326279
19291	chr5	55306596	55310491	3896	*	9.16	9.91	7.56	2.35	2.35	4.92E-07	2.71E-06	6.308034897	5.567030709
25015	chr9	79065228	79067351	2124	*	8.06	8.8	6.45	2.35	2.35	5.22E-07	2.85E-06	6.282329497	5.54515514
15333	chr21	32632156	32634501	2346	*	8.58	9.32	6.97	2.35	2.35	5.64E-07	3.03E-06	6.248720896	5.518557371
8025	chr15	30151651	30154761	3111	*	8.59	9.34	6.99	2.35	2.35	6.00E-07	3.18E-06	6.22184875	5.49757288
9622	chr16	83833976	83837803	3828	*	9.86	10.6	8.25	2.35	2.35	7.25E-07	3.70E-06	6.139661993	5.431798276
5589	chr12	40451198	40453624	2427	*	8.3	9.04	6.68	2.35	2.35	7.26E-07	3.70E-06	6.139063379	5.431798276
11409	chr18	66115788	66118310	2523	*	8.77	9.51	7.16	2.35	2.35	7.83E-07	3.91E-06	6.106238238	5.407823243
572	chr1	32586175	32587946	1772	*	8.46	9.2	6.84	2.35	2.35	1.09E-06	5.11E-06	5.962573502	5.2915791
18714	chr4	151091287	151093884	2598	*	8.88	9.62	7.27	2.35	2.35	1.65E-06	7.18E-06	5.782516056	5.143875556
19465	chr5	74386731	74391886	5156	*	10.6	11.34	8.99	2.35	2.35	1.66E-06	7.23E-06	5.779891912	5.140861703
17315	chr3	142580213	142584216	4004	*	9.69	8.08	10.43	-2.35	2.35	2.03E-06	8.51E-06	5.692503962	5.07007044
15665	chr22	23766096	23768329	2234	*	8.8	9.54	7.19	2.35	2.35	2.96E-06	1.16E-05	5.528708289	4.935542011
5586	chr12	40099284	40101378	2095	*	8.35	9.09	6.74	2.35	2.35	4.02E-06	1.49E-05	5.395773947	4.826813732
5781	chr12	54822182	54830269	8088	*	10.62	11.36	9.01	2.35	2.35	4.21E-06	1.55E-05	5.375717904	4.809668302
6616	chr13	30103183	30109201	6019	*	10.38	11.12	8.77	2.35	2.35	4.88E-06	1.76E-05	5.311580178	4.754487332
887	chr1	53496661	53499171	2511	*	8.26	6.65	9	-2.35	2.35	1.05E-05	3.36E-05	4.978810701	4.473660723
13686	chr2	128324836	128332013	7178	*	10.88	11.62	9.27	2.35	2.35	1.49E-05	4.54E-05	4.826813732	4.342944147
4084	chr11	11055313	11059100	3788	*	9.33	10.07	7.72	2.35	2.35	1.92E-05	5.63E-05	4.716698771	4.249491605
11593	chr19	5147080	5151249	4170	*	10.14	10.88	8.53	2.35	2.35	2.09E-05	6.07E-05	4.679853714	4.216811309
19125	chr5	32507238	32510446	3209	*	9.46	10.2	7.85	2.35	2.35	3.09E-05	8.48E-05	4.510041521	4.071604148
21585	chr6	135250688	135256815	6128	*	9.95	10.69	8.33	2.35	2.35	3.51E-05	9.46E-05	4.454692884	4.024108864
24175	chr8	98433935	98439768	5834	*	9.62	10.36	8	2.35	2.35	0.000336	0.000702	3.473660723	3.153662888
1479	chr1	120087155	120090718	3564	*	8.84	9.58	7.22	2.35	2.35	0.000414	0.000848	3.382999659	3.071604148
18035	chr4	39495941	39499562	3622	*	8.49	9.23	6.88	2.35	2.35	0.00128	0.00234	2.89279003	2.630784143
11649	chr19	8087272	8092588	5317	*	9.22	9.96	7.61	2.35	2.35	0.00191	0.00338	2.718966633	2.4710833
11823	chr19	15934674	15941640	6967	*	10.07	10.82	8.46	2.35	2.35	0.00495	0.00808	2.305394801	2.092588639
11345	chr18	57566024	57570237	4214	*	9.52	7.9	10.26	-2.36	2.36	6.39E-12	5.90E-10	11.19449914	9.229147988
17846	chr4	4290975	4293098	2124	*	8.29	6.68	9.04	-2.36	2.36	9.51E-12	7.99E-10	11.02181948	9.097453221
11214	chr18	43648266	43652786	4521	*	9.94	8.32	10.68	-2.36	2.36	2.52E-10	8.62E-09	9.598599459	8.064492734
13201	chr2	63052912	63056245	3334	*	9.71	10.45	8.1	2.36	2.36	3.78E-10	1.15E-08	9.4225082	7.93930216
21759	chr6	149655389	149659969	4581	*	8.52	6.9	9.26	-2.36	2.36	1.11E-09	2.62E-08	8.954677021	7.581698709
17721	chr3	192556226	192561557	5332	*	10.03	8.41	10.77	-2.36	2.36	1.16E-09	2.71E-08	8.935542011	7.567030709
15748	chr22	30307829	30313479	5651	*	9.36	7.74	10.11	-2.36	2.36	2.38E-09	4.73E-08	8.623423043	7.325138859
16039	chr22	45080886	45086406	5521	*	9.64	8.02	10.38	-2.36	2.36	2.48E-09	4.85E-08	8.605548319	7.314258261
20589	chr6	18975919	18979866	3948	*	10.63	11.38	9.02	2.36	2.36	3.18E-09	5.82E-08	8.49757288	7.235077015
19417	chr5	68588635	68592807	4173	*	9.65	8.03	10.39	-2.36	2.36	3.35E-09	6.06E-08	8.474955193	7.217527376
15454	chr21	40278370	40280648	2279	*	8.9	7.28	9.64	-2.36	2.36	4.12E-09	7.06E-08	8.385102784	7.151195299
9503	chr16	72948356	72952156	3801	*	8.53	9.28	6.92	2.36	2.36	4.29E-09	7.29E-08	8.367542708	7.137272472
7407	chr14	53730643	53733007	2365	*	9.23	7.61	9.97	-2.36	2.36	4.67E-09	7.73E-08	8.330683119	7.111820506
12937	chr2	36703262	36718959	15698	*	10.84	9.22	11.58	-2.36	2.36	4.68E-09	7.73E-08	8.329754147	7.111820506
18009	chr4	37879517	37884100	4584	*	8.19	8.93	6.57	2.36	2.36	5.76E-09	8.95E-08	8.239577517	7.048176965
6287	chr12	110995976	111005499	9524	*	10.39	11.13	8.77	2.36	2.36	9.02E-09	1.25E-07	8.044793462	6.903089987
16132	chr3	8533632	8536066	2435	*	8.84	9.58	7.22	2.36	2.36	1.05E-08	1.40E-07	7.978810701	6.853871964
19802	chr5	126336601	126339307	2707	*	8.61	9.36	7	2.36	2.36	1.60E-08	1.90E-07	7.795880017	6.721246399
25361	chr9	111820048	111821332	1285	*	8.18	8.92	6.56	2.36	2.36	1.89E-08	2.14E-07	7.723538196	6.669586227
1798	chr1	165706170	165709329	3160	*	9.91	10.65	8.29	2.36	2.36	2.22E-08	2.43E-07	7.653647026	6.614393726
17447	chr3	159215317	159218906	3590	*	9.85	8.23	10.59	-2.36	2.36	2.30E-08	2.48E-07	7.638272164	6.605548319
16594	chr3	50192028	50195957	3930	*	9.03	7.41	9.77	-2.36	2.36	2.34E-08	2.52E-07	7.630784143	6.598599459
5783	chr12	55369819	55371942	2124	*	8.07	8.81	6.46	2.36	2.36	2.70E-08	2.80E-07	7.568636236	6.552841969
11040	chr18	12597220	12599509	2290	*	8.92	9.67	7.31	2.36	2.36	2.86E-08	2.93E-07	7.543633967	6.53313238
11085	chr18	20957444	20961507	4064	*	10.28	11.02	8.66	2.36	2.36	3.54E-08	3.46E-07	7.450996738	6.460923901
73	chr1	6572202	6578778	6577	*	11.38	12.13	9.77	2.36	2.36	4.65E-08	4.26E-07	7.332547047	6.370590401
19571	chr5	90730305	90736347	6043	*	10.97	11.71	9.35	2.36	2.36	5.24E-08	4.69E-07	7.280668713	6.328827157
16816	chr3	74952736	74956345	3610	*	9.61	10.35	7.99	2.36	2.36	8.54E-08	6.89E-07	7.068542129	6.161780778
18949	chr4	186486233	186491186	4954	*	11.56	12.31	9.95	2.36	2.36	8.83E-08	7.07E-07	7.054039296	6.150580586
2680	chr1	247553951	247556382	2432	*	9.52	10.26	7.9	2.36	2.36	1.15E-07	8.69E-07	6.93930216	6.060980224
3765	chr10	120788078	120791470	3393	*	8.37	6.76	9.12	-2.36	2.36	1.43E-07	1.03E-06	6.844663963	5.987162775
23240	chr7	140264541	140267645	3105	*	8.37	9.11	6.75	2.36	2.36	1.49E-07	1.06E-06	6.826813732	5.974694135
2065	chr1	186459931	186469053	9123	*	10.89	11.63	9.28	2.36	2.36	1.50E-07	1.06E-06	6.823908741	5.974694135
2831	chr10	8752940	8755803	2864	*	10.37	11.11	8.75	2.36	2.36	1.53E-07	1.08E-06	6.815308569	5.966576245
6386	chr12	120896545	120898768	2224	*	8.51	9.25	6.89	2.36	2.36	1.57E-07	1.10E-06	6.804100348	5.958607315
16941	chr3	106925256	106929044	3789	*	8.51	6.89	9.25	-2.36	2.36	1.69E-07	1.17E-06	6.772113295	5.931814138
14950	chr20	39957058	39961511	4454	*	9.68	10.42	8.06	2.36	2.36	2.34E-07	1.50E-06	6.630784143	5.823908741
6787	chr13	45052285	45054949	2665	*	8.59	9.33	6.98	2.36	2.36	2.42E-07	1.54E-06	6.616184634	5.812479279
23824	chr8	41348076	41349700	1625	*	7.97	6.35	8.71	-2.36	2.36	2.50E-07	1.58E-06	6.602059991	5.801342913
11384	chr18	61271250	61275602	4353	*	10.53	11.27	8.91	2.36	2.36	3.13E-07	1.88E-06	6.504455662	5.725842151
2242	chr1	206601853	206604564	2712	*	8.27	9.02	6.66	2.36	2.36	4.24E-07	2.41E-06	6.372634143	5.617982957
16487	chr3	44722774	44726393	3620	*	9.79	10.53	8.18	2.36	2.36	6.28E-07	3.29E-06	6.202040356	5.482804102
6931	chr13	73816012	73820545	4534	*	8.82	9.56	7.21	2.36	2.36	6.79E-07	3.50E-06	6.168130226	5.455931956
20507	chr6	12709012	12710610	1599	*	8.68	9.42	7.06	2.36	2.36	9.68E-07	4.66E-06	6.014124643	5.331614083
4367	chr11	57201278	57215714	14437	*	12.18	12.93	10.57	2.36	2.36	2.97E-06	1.17E-05	5.527243551	4.931814138
19823	chr5	129308197	129310862	2666	*	7.99	8.73	6.37	2.36	2.36	3.19E-06	1.24E-05	5.496209317	4.906578315
2369	chr1	218915171	218918737	3567	*	10.28	11.03	8.67	2.36	2.36	3.58E-06	1.36E-05	5.446116973	4.866461092
8452	chr15	66654052	66657284	3233	*	8.75	7.13	9.49	-2.36	2.36	3.64E-06	1.38E-05	5.438898616	4.860120914
4283	chr11	35588421	35590633	2213	*	8.81	7.19	9.55	-2.36	2.36	5.37E-06	1.90E-05	5.270025714	4.721246399
25120	chr9	90207673	90213104	5432	*	9.52	10.27	7.91	2.36	2.36	5.79E-06	2.03E-05	5.237321436	4.692503962
22782	chr7	97955799	97961652	5854	*	9.29	10.03	7.67	2.36	2.36	6.30E-06	2.18E-05	5.200659451	4.661543506
5260	chr12	6323084	6330065	6982	*	9.86	10.6	8.24	2.36	2.36	9.20E-06	3.01E-05	5.036212173	4.521433504
13914	chr2	169385032	169387475	2444	*	7.98	6.36	8.72	-2.36	2.36	1.61E-05	4.84E-05	4.793174124	4.315154638
14668	chr20	5045381	5050256	4876	*	10.19	10.93	8.57	2.36	2.36	1.79E-05	5.31E-05	4.747146969	4.274905479
7172	chr14	20983634	20986652	3019	*	8.58	6.96	9.33	-2.36	2.36	1.91E-05	5.61E-05	4.718966633	4.251037139
24668	chr9	5549530	5553106	3577	*	9.23	9.98	7.61	2.36	2.36	3.87E-05	0.000103	4.412289035	3.987162775
18877	chr4	175728542	175730622	2081	*	8.95	9.69	7.34	2.36	2.36	5.52E-05	0.000141	4.258060922	3.850780887
23400	chr7	155567207	155569880	2674	*	9.06	9.8	7.45	2.36	2.36	0.000102	0.000242	3.991399828	3.616184634
14695	chr20	11696380	11698596	2217	*	8.42	9.16	6.8	2.36	2.36	0.000563	0.00112	3.249491605	2.950781977
10688	chr17	70456595	70463380	6786	*	10.54	11.28	8.93	2.36	2.36	0.000593	0.00117	3.226945307	2.931814138
13728	chr2	134988762	134992171	3410	*	8.07	8.82	6.45	2.36	2.36	0.00066	0.00129	3.180456064	2.88941029
23567	chr8	19966360	19971415	5056	*	8.67	9.42	7.05	2.36	2.36	0.00102	0.00191	2.991399828	2.718966633
21000	chr6	46700530	46703798	3269	*	8.79	9.54	7.18	2.36	2.36	0.00124	0.00229	2.906578315	2.640164518
7025	chr13	98298097	98301467	3371	*	8.72	9.46	7.1	2.36	2.36	0.00132	0.00241	2.879426069	2.617982957
20353	chr6	3164762	3169086	4325	*	8.8	9.54	7.18	2.36	2.36	0.00147	0.00266	2.832682665	2.575118363
8509	chr15	70026030	70029134	3105	*	8.19	8.93	6.57	2.36	2.36	0.00191	0.00338	2.718966633	2.4710833
8771	chr15	93208947	93213578	4632	*	9.33	10.07	7.71	2.36	2.36	0.00257	0.00443	2.590066877	2.353596274
15696	chr22	25408611	25413982	5372	*	9.76	10.51	8.15	2.36	2.36	0.00397	0.00662	2.401209493	2.179142011
16961	chr3	107749252	107751061	1810	*	8.21	6.58	8.95	-2.37	2.37	4.82E-12	4.71E-10	11.31695296	9.326979093
5718	chr12	51655984	51666544	10561	*	10.74	9.11	11.48	-2.37	2.37	9.07E-12	7.73E-10	11.04239271	9.111820506
21435	chr6	114330832	114333983	3152	*	9.01	7.38	9.75	-2.37	2.37	4.11E-10	1.22E-08	9.386158178	7.913640169
12649	chr2	10141102	10145502	4401	*	8.13	6.51	8.88	-2.37	2.37	3.13E-09	5.76E-08	8.504455662	7.239577517
25431	chr9	115909731	115915041	5311	*	9.08	7.45	9.82	-2.37	2.37	3.94E-09	6.83E-08	8.404503778	7.165579296
13343	chr2	74188053	74191723	3671	*	8.8	9.55	7.17	2.37	2.37	5.64E-09	8.83E-08	8.248720896	7.054039296
12857	chr2	28854259	28873055	18797	*	12.62	13.36	10.99	2.37	2.37	5.95E-09	9.19E-08	8.225483034	7.036684489
14331	chr2	218536264	218538208	1945	*	9.11	9.86	7.49	2.37	2.37	6.37E-09	9.70E-08	8.195860568	7.013228266
18749	chr4	154031812	154035140	3329	*	10.86	11.6	9.24	2.37	2.37	7.11E-09	1.05E-07	8.148130399	6.978810701
242	chr1	16930291	16933070	2780	*	10.49	11.24	8.87	2.37	2.37	1.35E-08	1.69E-07	7.869666232	6.772113295
11344	chr18	57542404	57544297	1894	*	9.16	7.54	9.9	-2.37	2.37	1.64E-08	1.93E-07	7.785156152	6.714442691
4163	chr11	18386353	18391104	4752	*	9.48	10.23	7.85	2.37	2.37	1.70E-08	1.98E-07	7.769551079	6.70333481
23925	chr8	56790292	56793550	3259	*	9.3	10.05	7.67	2.37	2.37	2.15E-08	2.36E-07	7.66756154	6.627087997
19064	chr5	14847812	14852953	5142	*	9.76	8.14	10.51	-2.37	2.37	3.47E-08	3.41E-07	7.459670525	6.467245621
9123	chr16	24984956	24989806	4851	*	10.58	11.32	8.96	2.37	2.37	4.18E-08	3.93E-07	7.378823718	6.40560745
4835	chr11	85883274	85890100	6827	*	10.45	11.2	8.83	2.37	2.37	6.45E-08	5.53E-07	7.190440285	6.257274869
21161	chr6	75876188	75878573	2386	*	10.54	11.29	8.92	2.37	2.37	8.42E-08	6.82E-07	7.074687909	6.166215625
12869	chr2	30247607	30250059	2453	*	9.05	9.8	7.43	2.37	2.37	9.25E-08	7.32E-07	7.033858267	6.135488919
8878	chr16	1570150	1573962	3813	*	8.49	9.24	6.87	2.37	2.37	1.02E-07	7.89E-07	6.991399828	6.102922997
4044	chr11	9396994	9398983	1990	*	9.25	9.99	7.62	2.37	2.37	1.31E-07	9.60E-07	6.882728704	6.017728767
22323	chr7	33907149	33910761	3613	*	9.64	10.38	8.01	2.37	2.37	1.91E-07	1.29E-06	6.718966633	5.88941029
16379	chr3	31957968	31961846	3879	*	8.35	6.73	9.1	-2.37	2.37	2.04E-07	1.35E-06	6.690369833	5.869666232
10456	chr17	54239225	54244465	5241	*	11.07	11.82	9.45	2.37	2.37	3.20E-07	1.91E-06	6.494850022	5.718966633
8889	chr16	1919786	1922197	2412	*	8.71	9.45	7.08	2.37	2.37	6.54E-07	3.40E-06	6.184422252	5.468521083
16276	chr3	17642915	17645046	2132	*	8.4	9.14	6.77	2.37	2.37	7.42E-07	3.76E-06	6.129596095	5.424812155
2801	chr10	7664381	7666749	2369	*	9.04	9.79	7.42	2.37	2.37	7.52E-07	3.80E-06	6.123782159	5.420216403
19825	chr5	130553034	130560510	7477	*	11.81	12.55	10.18	2.37	2.37	8.79E-07	4.30E-06	6.056011125	5.366531544
5457	chr12	24512247	24514061	1815	*	10.09	10.84	8.47	2.37	2.37	9.07E-07	4.41E-06	6.042392713	5.355561411
5444	chr12	21808053	21811612	3560	*	8.18	6.56	8.92	-2.37	2.37	1.14E-06	5.31E-06	5.943095149	5.274905479
12196	chr19	41109309	41112213	2905	*	9.03	9.78	7.4	2.37	2.37	1.40E-06	6.27E-06	5.853871964	5.202732459
9599	chr16	81464884	81467130	2247	*	8.85	9.6	7.23	2.37	2.37	2.46E-06	9.97E-06	5.609064893	5.001304842
20485	chr6	11536957	11539256	2300	*	8.36	6.74	9.11	-2.37	2.37	2.69E-06	1.08E-05	5.57024772	4.966576245
24051	chr8	80433868	80435493	1626	*	8.29	9.03	6.66	2.37	2.37	3.22E-06	1.25E-05	5.492144128	4.903089987
13333	chr2	73331087	73333696	2610	*	9.81	10.56	8.19	2.37	2.37	4.15E-06	1.53E-05	5.381951903	4.815308569
988	chr1	64527102	64529474	2373	*	8.16	8.9	6.54	2.37	2.37	6.09E-06	2.12E-05	5.215382707	4.673664139
24143	chr8	95572397	95577016	4620	*	9.43	10.18	7.81	2.37	2.37	8.19E-06	2.72E-05	5.086716098	4.565431096
23954	chr8	60975672	60978854	3183	*	8.12	8.86	6.5	2.37	2.37	1.72E-05	5.12E-05	4.764471553	4.290730039
13724	chr2	134711347	134715443	4097	*	8.43	9.17	6.81	2.37	2.37	3.49E-05	9.43E-05	4.457174573	4.025488307
2552	chr1	235115429	235118028	2600	*	9.18	9.93	7.56	2.37	2.37	3.68E-05	9.89E-05	4.434152181	4.004803708
4159	chr11	17880738	17883997	3260	*	8.45	9.19	6.82	2.37	2.37	9.95E-05	0.000237	4.002176919	3.625251654
7615	chr14	71341788	71343984	2197	*	8.6	9.35	6.98	2.37	2.37	0.00011	0.000258	3.958607315	3.588380294
14909	chr20	35891069	35893943	2875	*	8.58	9.32	6.95	2.37	2.37	0.000123	0.000286	3.910094889	3.543633967
12724	chr2	18418369	18422867	4499	*	9.11	9.85	7.48	2.37	2.37	0.000131	0.000302	3.882728704	3.519993057
6989	chr13	83374217	83376704	2488	*	8.93	9.68	7.31	2.37	2.37	0.000178	0.000397	3.749579998	3.401209493
1370	chr1	112283685	112287561	3877	*	9.31	10.05	7.69	2.37	2.37	0.000183	0.000408	3.73754891	3.389339837
24791	chr9	28924452	28927754	3303	*	9.37	10.12	7.75	2.37	2.37	0.000257	0.000551	3.590066877	3.258848401
21174	chr6	77479064	77481877	2814	*	9.23	9.97	7.6	2.37	2.37	0.000557	0.00111	3.254144805	2.954677021
20084	chr5	150957529	150958875	1347	*	8.13	8.87	6.5	2.37	2.37	0.000814	0.00156	3.089375595	2.806875402
20556	chr6	16338460	16341307	2848	*	8.46	9.2	6.83	2.37	2.37	0.00103	0.00193	2.987162775	2.714442691
4197	chr11	22541052	22543554	2503	*	8.89	9.63	7.27	2.37	2.37	0.00198	0.00348	2.70333481	2.458420756
2961	chr10	23647527	23650657	3131	*	8.3	9.05	6.68	2.37	2.37	0.00206	0.00363	2.68613278	2.440093375
8251	chr15	50150497	50153968	3472	*	8.55	9.3	6.92	2.38	2.38	5.06E-13	8.20E-11	12.29584948	10.08618615
19549	chr5	87563772	87565798	2027	*	8.4	6.77	9.15	-2.38	2.38	8.22E-13	1.20E-10	12.08512818	9.920818754
10966	chr18	7573797	7575631	1835	*	8.31	6.68	9.06	-2.38	2.38	1.07E-12	1.45E-10	11.97061622	9.838631998
